
>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]

>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]

>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]

>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]

>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]
Matching thres: 0.2  Save to: None

>>>>Eval hpatches: task=homography method=GeoFormer_geoformer_noms scale_H=True rthres=15
>>Finished, pairs=133 match_failed=0 matches=4237.4 match_time=0.33s
==== Homography Estimation ====
Hest solver=cv est_failed=0 ransac_thres=15 inlier_rate=0.97

>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]
Matching thres: 0.2  Save to: None

>>>>Eval hpatches: task=homography method=GeoFormer_geoformer_noms scale_H=True rthres=15
>>Finished, pairs=133 match_failed=0 matches=4237.4 match_time=0.33s
==== Homography Estimation ====
Hest solver=cv est_failed=0 ransac_thres=15 inlier_rate=0.97

>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]
Matching thres: 0.2  Save to: None

>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]

Matching thres: 0.2

==========================================================================================
Pair ID         | MLE (pixels)    | Accuracy     | Matches     
P47_1_2         | Error: Can't conv | FAIL         | N/A         
S12_1_2         | Error: Can't conv | FAIL         | N/A         
P49_1_2         | Error: Can't conv | FAIL         | N/A         
P42_1_2         | Error: Can't conv | FAIL         | N/A         
P34_1_2         | Error: Can't conv | FAIL         | N/A         
P38_1_2         | Error: Can't conv | FAIL         | N/A         
S28_1_2         | Error: Can't conv | FAIL         | N/A         
S23_1_2         | Error: Can't conv | FAIL         | N/A         
P01_1_2         | Error: Can't conv | FAIL         | N/A         
S62_1_2         | Error: Can't conv | FAIL         | N/A         
P14_1_2         | Error: Can't conv | FAIL         | N/A         
A04_1_2         | Error: Can't conv | FAIL         | N/A         
P33_1_2         | Error: Can't conv | FAIL         | N/A         
P22_1_2         | Error: Can't conv | FAIL         | N/A         
S57_1_2         | Error: Can't conv | FAIL         | N/A         
S22_1_2         | Error: Can't conv | FAIL         | N/A         
S13_1_2         | Error: Can't conv | FAIL         | N/A         
S63_1_2         | Error: Can't conv | FAIL         | N/A         
A11_1_2         | Error: Can't conv | FAIL         | N/A         
P10_1_2         | Error: Can't conv | FAIL         | N/A         
P46_1_2         | Error: Can't conv | FAIL         | N/A         
P13_1_2         | Error: Can't conv | FAIL         | N/A         
P30_1_2         | Error: Can't conv | FAIL         | N/A         
S20_1_2         | Error: Can't conv | FAIL         | N/A         
S38_1_2         | Error: Can't conv | FAIL         | N/A         
S40_1_2         | Error: Can't conv | FAIL         | N/A         
A13_1_2         | Error: Can't conv | FAIL         | N/A         
S34_1_2         | Error: Can't conv | FAIL         | N/A         
S51_1_2         | Error: Can't conv | FAIL         | N/A         
S68_1_2         | Error: Can't conv | FAIL         | N/A         
P25_1_2         | Error: Can't conv | FAIL         | N/A         
S14_1_2         | Error: Can't conv | FAIL         | N/A         
S26_1_2         | Error: Can't conv | FAIL         | N/A         
P08_1_2         | Error: Can't conv | FAIL         | N/A         
P44_1_2         | Error: Can't conv | FAIL         | N/A         
S15_1_2         | Error: Can't conv | FAIL         | N/A         
S66_1_2         | Error: Can't conv | FAIL         | N/A         
S09_1_2         | Error: Can't conv | FAIL         | N/A         
S64_1_2         | Error: Can't conv | FAIL         | N/A         
P03_1_2         | Error: Can't conv | FAIL         | N/A         
S35_1_2         | Error: Can't conv | FAIL         | N/A         
P07_1_2         | Error: Can't conv | FAIL         | N/A         
S50_1_2         | Error: Can't conv | FAIL         | N/A         
A05_1_2         | Error: Can't conv | FAIL         | N/A         
S19_1_2         | Error: Can't conv | FAIL         | N/A         
P32_1_2         | Error: Can't conv | FAIL         | N/A         
P24_1_2         | Error: Can't conv | FAIL         | N/A         
P17_1_2         | Error: Can't conv | FAIL         | N/A         
P41_1_2         | Error: Can't conv | FAIL         | N/A         
S08_1_2         | Error: Can't conv | FAIL         | N/A         
P04_1_2         | Error: Can't conv | FAIL         | N/A         
A01_1_2         | Error: Can't conv | FAIL         | N/A         
A08_1_2         | Error: Can't conv | FAIL         | N/A         
P35_1_2         | Error: Can't conv | FAIL         | N/A         
S58_1_2         | Error: Can't conv | FAIL         | N/A         
S53_1_2         | Error: Can't conv | FAIL         | N/A         
S47_1_2         | Error: Can't conv | FAIL         | N/A         
S11_1_2         | Error: Can't conv | FAIL         | N/A         
S61_1_2         | Error: Can't conv | FAIL         | N/A         
S21_1_2         | Error: Can't conv | FAIL         | N/A         
S54_1_2         | Error: Can't conv | FAIL         | N/A         
P48_1_2         | Error: Can't conv | FAIL         | N/A         
P39_1_2         | Error: Can't conv | FAIL         | N/A         
A03_1_2         | Error: Can't conv | FAIL         | N/A         
P36_1_2         | Error: Can't conv | FAIL         | N/A         
P18_1_2         | Error: Can't conv | FAIL         | N/A         
P23_1_2         | Error: Can't conv | FAIL         | N/A         
A06_1_2         | Error: Can't conv | FAIL         | N/A         
S70_1_2         | Error: Can't conv | FAIL         | N/A         
P40_1_2         | Error: Can't conv | FAIL         | N/A         
S29_1_2         | Error: Can't conv | FAIL         | N/A         
P05_1_2         | Error: Can't conv | FAIL         | N/A         
A14_1_2         | Error: Can't conv | FAIL         | N/A         
S41_1_2         | Error: Can't conv | FAIL         | N/A         
S36_1_2         | Error: Can't conv | FAIL         | N/A         
S37_1_2         | Error: Can't conv | FAIL         | N/A         
P19_1_2         | Error: Can't conv | FAIL         | N/A         
A12_1_2         | Error: Can't conv | FAIL         | N/A         
P21_1_2         | Error: Can't conv | FAIL         | N/A         
S43_1_2         | Error: Can't conv | FAIL         | N/A         
S59_1_2         | Error: Can't conv | FAIL         | N/A         
P45_1_2         | Error: Can't conv | FAIL         | N/A         
S04_1_2         | Error: Can't conv | FAIL         | N/A         
S30_1_2         | Error: Can't conv | FAIL         | N/A         
S31_1_2         | Error: Can't conv | FAIL         | N/A         
P06_1_2         | Error: Can't conv | FAIL         | N/A         
S05_1_2         | Error: Can't conv | FAIL         | N/A         
S46_1_2         | Error: Can't conv | FAIL         | N/A         
S39_1_2         | Error: Can't conv | FAIL         | N/A         
==========================================================================================

OVERALL STATISTICS:
==========================================================================================
No valid MLE measurements

Total Pairs:      133
Correct Pairs:    0
Overall Accuracy: 0.00%
==========================================================================================


>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]

Matching thres: 0.2

====================================================================================================
Pair ID         | MLE (pixels)       | Accuracy     | Matches         | Status
====================================================================================================
S10_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P26_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S67_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S01_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P09_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P11_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S17_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S65_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S52_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S44_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S02_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S42_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P28_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S56_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P02_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S06_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P43_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S33_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S55_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P29_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P31_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S32_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P15_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
A02_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S25_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S60_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
A07_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
A09_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P16_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
A10_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S27_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S48_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P12_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S71_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S69_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S07_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S24_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S18_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P27_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S45_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P20_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S16_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S03_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S49_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P47_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S12_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P49_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P42_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P34_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P38_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S28_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S23_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P01_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S62_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P14_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
A04_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P33_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P22_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S57_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S22_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S13_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S63_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
A11_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P10_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P46_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P13_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P30_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S20_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S38_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S40_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
A13_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S34_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S51_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S68_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P25_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S14_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S26_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P08_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P44_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S15_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S66_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S09_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S64_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P03_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S35_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P07_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S50_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
A05_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S19_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P32_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P24_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P17_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P41_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S08_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P04_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
A01_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
A08_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P35_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S58_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S53_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S47_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S11_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S61_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S21_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S54_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P48_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P39_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
A03_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P36_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P18_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P23_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
A06_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S70_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P40_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S29_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P05_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
A14_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S41_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S36_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S37_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P19_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
A12_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P21_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S43_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S59_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P45_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S04_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S30_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S31_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
P06_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S05_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S46_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
S39_1_2         | N/A                | FAIL         | N/A             | Error: Can't convert object to 'str' 
====================================================================================================

OVERALL STATISTICS:
====================================================================================================
Successful Pairs: 0/133
No valid MLE measurements - all pairs failed!

Total Pairs:      133
Successful:       0
Correct (MLE<10): 0
Accuracy:         0.00% (of successful pairs)
====================================================================================================


>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]

Matching thres: 0.2

====================================================================================================
Pair ID         | MLE (pixels)       | Accuracy     | Matches         | Status
====================================================================================================
S10_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
P26_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S67_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S01_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
P09_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
P11_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S17_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S65_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S52_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S44_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S02_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S42_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
P28_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S56_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
P02_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S06_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
P43_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S33_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S55_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
P29_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
P31_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S32_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
P15_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
A02_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S25_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S60_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
A07_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
A09_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
P16_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
A10_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S27_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S48_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
P12_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S71_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S69_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S07_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S24_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S18_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
P27_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S45_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
P20_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S16_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S03_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S49_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
P47_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
S12_1_2         | N/A                | FAIL         | N/A             | Error: tuple indices must be integers or slices
